Crowding Distance;Front;ID;Maximized mutation Score;Minimized mutation Score;Num Inputs;Num Tests;Tests
0.0;0;0;0.23950000000000005;0.7605;202.0;40.0;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]

0.1484596193199336;0;0;0.05740000000000001;0.9426;43.0;10.0;[39, 26, 18, 2, 4, 22, 11, 5, 30, 1]
0.21228940655397616;0;0;0.06240000000000001;0.9376;45.0;13.0;[5, 18, 13, 28, 16, 37, 7, 21, 33, 34, 1, 35, 4]
0.12661837083668703;0;0;0.11229999999999996;0.8877;89.0;15.0;[27, 23, 4, 39, 38, 1, 15, 19, 32, 6, 17, 34, 2, 5, 10]
0.275282226253549;0;0;0.16710000000000003;0.8329;125.0;21.0;[7, 27, 20, 8, 36, 38, 4, 21, 35, 3, 11, 22, 1, 0, 25, 29, 13, 19, 14, 39, 15]
0.17696457104412674;0;0;0.012499999999999956;0.9875;13.0;3.0;[3, 21, 13]
0.21931352643656074;0;0;0.025000000000000022;0.975;21.0;6.0;[18, 7, 1, 29, 34, 38]
0.13364249071927162;0;0;0.08230000000000004;0.9177;76.0;16.0;[12, 35, 7, 27, 30, 11, 36, 18, 32, 37, 16, 14, 22, 6, 4, 23]
0.18412484832466333;0;0;0.13470000000000004;0.8653;105.0;19.0;[28, 20, 24, 12, 18, 0, 25, 13, 5, 35, 34, 3, 10, 32, 22, 27, 6, 31, 21]
0.1483234619219816;0;0;0.09730000000000005;0.9027;78.0;13.0;[18, 15, 37, 31, 5, 17, 30, 0, 8, 21, 34, 35, 10]
0.1627120951820305;0;0;0.13970000000000005;0.8603;113.0;21.0;[28, 13, 19, 0, 10, 3, 11, 34, 39, 36, 5, 14, 22, 23, 16, 18, 32, 4, 9, 27, 33]
0.2329332708611156;0;0;0.03749999999999998;0.9625;31.0;8.0;[4, 3, 14, 16, 31, 1, 21, 13]
1.7976931348623157E308;0;0;0.18210000000000004;0.8179;142.0;26.0;[37, 39, 24, 20, 38, 27, 16, 13, 7, 8, 34, 31, 4, 3, 1, 32, 15, 11, 30, 5, 14, 10, 9, 23, 22, 25]
0.14150357813632533;0;0;0.1048;0.8952;79.0;18.0;[26, 10, 6, 14, 3, 12, 2, 16, 29, 18, 15, 0, 39, 19, 11, 7, 9, 37]
1.7976931348623157E308;0;0;0.0050000000000000044;0.995;1.0;1.0;[29]
0.11327094120803621;0;0;0.10980000000000001;0.8902;88.0;21.0;[30, 2, 24, 34, 15, 39, 19, 6, 28, 12, 35, 17, 1, 3, 26, 20, 11, 25, 14, 13, 9]
0.12731918097320538;0;0;0.01749999999999996;0.9825;16.0;4.0;[13, 12, 19, 27]
0.1623516785403931;0;0;0.07740000000000002;0.9226;75.0;15.0;[13, 33, 3, 27, 14, 1, 21, 25, 22, 18, 17, 36, 19, 12, 6]
0.23995739074370018;0;0;0.12719999999999998;0.8728;92.0;18.0;[26, 21, 33, 3, 27, 14, 32, 4, 2, 37, 11, 36, 28, 1, 24, 16, 7, 20]
